PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
37112604,2023-06-01,1.37,-0.38,,,,
35768309,2023-04-01,20,20,,,,
35784080,2023-01-01,,20,,,,
39337263,2023-05-01,,70.63,,,,
37900014,2023-04-01,10,10,,,,
37687038,2023-05-01,0,0,,,,
35953451,2023-04-01,109.66,28.25,,,,
38521733,2023-04-01,,20,,,,
36882326,2023-05-01,0,0,,,,
35536163,2023-01-01,,1384.95,,3.44,,
38130355,2023-06-01,9,9,,,,
40506487,2023-06-01,,26.11,,,,
35515004,2023-06-01,0,0,,,,
35287306,2023-06-01,0,0,,,,
36883716,2023-06-01,13.39,2.65,,,,
37210880,2023-05-01,0,0,,,,
38228004,2023-03-01,,0,,,,
36941370,2023-06-01,280,39.57,,,,
40528876,2023-06-01,,20,,,,
35618947,2023-02-01,13,8.5,,,,
35948246,2023-05-01,2747.72,1928.7,,,,
39093126,2023-04-01,,0,,,,
37554024,2023-06-01,310.94,310.94,,,,
38741355,2023-06-01,390.28,408.72,,,,
35354849,2023-06-01,49.6,471.26,,,,
41146100,2023-06-01,,5.23,,,,
37864859,2023-06-01,191.55,0,,,,
41153669,2023-06-01,,0,,,,
39564699,2023-06-01,0.23,2.75,,,,
39516097,2023-06-01,8260.44,8010.4,,,,
38152154,2023-06-01,96.98,97.21,,,,
36307808,2023-06-01,502.77,1.47,,,,
40748390,2023-06-01,,410,,,,
35252542,2023-05-01,0,0,,,,
36025220,2023-02-01,0,1366.43,,,,
36897033,2023-02-01,,10,,,,
37586156,2023-06-01,15.96,15.85,,,,
35960675,2023-06-01,47.25,47.39,,,,
36192554,2023-04-01,4966.33,21.86,,,,
36578774,2023-06-01,4806.02,4614.34,,,,
36961179,2023-06-01,858.11,721.41,,,,
38833589,2023-06-01,0,0,,,,
39984167,2023-05-01,,13,,,,
37559694,2023-06-01,,1.97,,,,
36377631,2023-06-01,32.59,32.59,,,,
35763180,2023-06-01,619.38,619.38,,,,
37701028,2023-06-01,65.46,11.73,,,,
37289853,2023-05-01,17.57,17.19,,,,
36862132,2023-02-01,,0,,,,
36252891,2023-03-01,0,0,,,,
37534176,2023-05-01,731.03,208.01,,,,
37184973,2023-05-01,3483.01,2063.01,,,,
35321254,2023-03-01,0,0,,,,
36984823,2023-04-01,1,1,,,,
35652805,2023-03-01,7.45,16.07,,,,
36027092,2023-05-01,0,0,,,,
37091633,2023-02-01,,49.08,,,,
35377518,2023-06-01,20,20,,,,
38632550,2023-06-01,19,19,,,,
36283227,2023-05-01,79.07,77.34,,,,
36263499,2023-03-01,76.38,0,,,,
36401357,2023-03-01,,0,,,,
40137940,2023-06-01,,5.89,,,,
38496805,2023-06-01,0,0.01,,,,
38206110,2023-04-01,32.39,0,,,,
38975430,2023-04-01,,0,,,,
37096682,2023-02-01,,10,,,,
36126586,2023-02-01,13.78,0,,,,
36499943,2023-03-01,0,0,,,,
38015788,2023-03-01,,0,,,,
35620171,2023-02-01,,10.29,,,,
35701947,2023-04-01,0,0,,,,
36433410,2023-04-01,13,13,,,,
35523367,2023-02-01,37.82,124.45,,,,
35449160,2023-04-01,0.21,0.21,,,,
37521255,2023-04-01,52.2,28.12,,,,
36175972,2023-01-01,,0,,,,
37878085,2023-03-01,,0,,,,
38802775,2023-05-01,0,0,,,,
36192554,2023-03-01,840.48,4964.45,,,,
36357389,2023-02-01,,585.16,,,,
37589919,2023-06-01,196.61,25.88,,,,
38020041,2023-06-01,15.88,15.93,,,,
35717231,2023-05-01,0,0,,,,
36861431,2023-03-01,290,1332.72,,,,
38289644,2023-04-01,,392,,,,
39287068,2023-06-01,0,0,,,,
39159668,2023-06-01,20,20,,,,
38737699,2023-05-01,0,0,,,,
38082137,2023-03-01,,20,,,,
35515004,2023-04-01,0,0,,,,
35252519,2023-05-01,1.49,1.49,,,,
37013878,2023-02-01,,0,,,,
35469519,2023-03-01,0,0,,,,
37146043,2023-05-01,0,0,,,,
36371351,2023-02-01,,0,,,,
35547574,2023-04-01,6.01,6.01,,,,
38343634,2023-05-01,509.96,11.63,,,,
38068504,2023-03-01,,0,,,,
39692142,2023-05-01,,0,,,,
35455092,2023-03-01,0,0,,,,
35641380,2023-03-01,17.85,0,,,,
35483271,2023-01-01,,263.42,,,,
36990332,2023-05-01,0,0,,,,
35896716,2023-03-01,28.87,28.79,,,,
35709186,2023-01-01,,0.15,,,,
36073581,2023-01-01,,8.3,,,,
36192810,2023-02-01,0,50,,,,
38841594,2023-04-01,,10.8,,,,
35677664,2023-04-01,31.52,31.33,,,,
35911098,2023-05-01,6.67,73.06,,,,
35321211,2023-01-01,,0,,,,
37591157,2023-04-01,279.29,338.23,,,,
37683190,2023-04-01,13,13,,,,
40026112,2023-05-01,,182.96,,,,
36922530,2023-03-01,0,0,,,,
37665913,2023-04-01,55.69,55.69,,,,
38566527,2023-04-01,,0,,,,
35267327,2023-01-01,,20,,,,
38117323,2023-04-01,0,0,,,,
36055195,2023-03-01,0,0,,,,
37339539,2023-05-01,0,0,,,,
39239255,2023-05-01,,200.69,,,,
35454866,2023-01-01,,7.35,,,,
35693174,2023-05-01,,20,,,,
35385597,2023-03-01,0,0,,,,
36826099,2023-02-01,,0,,,,
36409780,2023-05-01,0,0,,,,
39182828,2023-04-01,,10,,,,
35563170,2023-05-01,2105.55,2352.57,,,,
40238801,2023-05-01,,0,,,,
37461993,2023-05-01,116.87,28.65,,,,
36301359,2023-03-01,20,43984.93,,,,
37889661,2023-04-01,13.21,2.72,,,,
36490161,2023-05-01,48.32,47.26,,,,
36070162,2023-01-01,,129.78,,,,
36473359,2023-03-01,20,20,,,,
37068949,2023-05-01,3.71,3.71,,,,
39493220,2023-05-01,,20,,,,
37327136,2023-04-01,0,0,,,,
36027503,2023-02-01,7.17,181.2,,,,
36597625,2023-03-01,214.5,53.55,,,,
35618194,2023-03-01,1.49,1.49,,,,
36957643,2023-03-01,0,0,,,,
38830191,2023-05-01,20,20,,,,
36263416,2023-03-01,1.15,0,,,,
37858048,2023-05-01,0.2,0,,,,
38876866,2023-04-01,,1491.56,,,,
36682798,2023-03-01,6.23,6.2,,,,
36847873,2023-05-01,0,0,,,,
35455515,2023-02-01,4016,3977.27,,,,
35798255,2023-03-01,0,0,,,,
35341273,2023-01-01,,10,,,,
37759743,2023-05-01,0,40.49,,,,
36001972,2023-03-01,1,0,,,,
36205127,2023-05-01,11.2,3011.2,,,,
36570024,2023-05-01,1.41,1.41,,,,
37569760,2023-04-01,,20,,,,
36469704,2023-04-01,2.13,308.68,,,,
37232148,2023-04-01,5.15,5.15,,,,
35499810,2023-04-01,0,0,,,,
39213638,2023-05-01,0,0,,,,
36985867,2023-05-01,257.4,257.95,,,,
38504454,2023-04-01,,1,,,,
36195262,2023-03-01,2533.98,1.06,,,2533.98,1.06
37217512,2023-05-01,2.5,88.14,,,,
35872886,2023-05-01,20,20,,,,
37338556,2023-04-01,20,0,,,,
35339850,2023-02-01,244.73,208.86,,,,
35428136,2023-03-01,30,30,,,,
38504202,2023-05-01,25,0,,,,
37401619,2023-03-01,,25,,,,
37685781,2023-03-01,,0.01,,,,
36023776,2023-02-01,16.89,16.94,,,,
35400110,2023-03-01,471.79,463.76,,,,
37803544,2023-03-01,,6.78,,,,
36888076,2023-02-01,,0,,,,
35469519,2023-04-01,0,0,,,,
41185575,2023-06-01,,0,,,,
37949412,2023-06-01,15341.89,60281.15,,,,
36135057,2023-04-01,1419.5,0.76,,,,
36985867,2023-06-01,256.81,255.71,,,,
36425438,2023-06-01,0,5,,,,
36443187,2023-06-01,1417.9,1419.77,,,,
38151389,2023-06-01,0,160.23,,,,
38336523,2023-04-01,,0,,,,
36438237,2023-03-01,0,0,,,,
37558469,2023-03-01,,0,,,,
38215631,2023-03-01,,0,,,,
37046877,2023-04-01,0,40.5,,,,
35284010,2023-02-01,20.05,5.28,,,20.05,5.28
36599355,2023-02-01,,15.73,,,,
35360923,2023-01-01,,92.92,,,,
35582192,2023-01-01,,4032.87,,3283.55,,
38617666,2023-06-01,0,0,,,,
36238055,2023-06-01,0,0,,,,
40157883,2023-06-01,196.81,1.18,,,,
40055363,2023-06-01,0,0,,,,
39825772,2023-06-01,50,50,,,,
39342281,2023-05-01,,50.54,,,,
40126943,2023-06-01,0,0,,,,
35415729,2023-06-01,20,20,,,,
37987302,2023-05-01,15,15,,,,
38045792,2023-04-01,20.27,19.91,,,,
36574448,2023-03-01,20,20,,,,
39629767,2023-06-01,0,0,,,,
38542744,2023-04-01,,0,,,,
36878754,2023-05-01,20,20,,,,
35448953,2023-01-01,,0,,,,
38020069,2023-06-01,240,148,,,,
41062136,2023-06-01,,5.99,,,,
35970279,2023-06-01,0,0,,,,
39425391,2023-05-01,,0.5,,,,
36839292,2023-03-01,,5.42,,,,
38374660,2023-05-01,200.6,0.55,,,,
36790338,2023-02-01,,5,,,,
36402206,2023-02-01,,10,,,,
38842996,2023-06-01,0,0,,,,
37095493,2023-04-01,29.19,2.7,,,,
37802908,2023-05-01,0.24,0.24,,,,
36642468,2023-04-01,0,0,,,,
38105444,2023-06-01,12,211.36,,,,
36131671,2023-06-01,0,0,,,,
40327266,2023-06-01,10,10,,,,
38384088,2023-05-01,347.5,346.76,,,,
36323441,2023-03-01,2.08,10.53,,,,
39406766,2023-05-01,,0,,,,
36736269,2023-04-01,352.05,382.75,,,,
37754585,2023-05-01,20,20,,,,
37889661,2023-06-01,2.72,2.72,,,,
35487083,2023-04-01,0,0,,,,
39350400,2023-05-01,,4.51,,,,
38215484,2023-05-01,159.17,37.22,,,,
36263416,2023-06-01,0,0,,,,
37640741,2023-03-01,,0,,,,
35713445,2023-05-01,0.61,0.61,,,,
37933931,2023-04-01,895.01,627.51,,,,
36857500,2023-05-01,200,400,,,,
37654755,2023-06-01,0.86,0.86,,,,
35608955,2023-06-01,41.88,4.18,,,,
35327295,2023-06-01,195,195,,,,
35419799,2023-03-01,0,0,,,,
38796686,2023-05-01,500.32,11.48,,,,
38626026,2023-06-01,0,2,,,,
38836465,2023-06-01,0,0,,,,
35389631,2023-06-01,2430.63,2446.58,,,,
37663165,2023-03-01,,54.68,,,,
35575605,2023-03-01,0,0,,,,
37338068,2023-06-01,27.58,0.58,,,,
36487905,2023-06-01,476.39,556.59,,,,
37273106,2023-06-01,0,0,,,,
